"X","Y","name","class","generationmw","generatornumber"
113.776179006,-23.152144318,"Coral Bay Diesel Backup","Non Renewable",2.24,8
113.54931095,-25.911523868,"Denham Wind Turbines","Renewable",0.92,4
113.533954528,-25.916724839,"Denham Diesel Backup","Non Renewable",1.6,3
115.771304958,-32.14241986,"Woodman Point","Renewable",1.8,3
115.800800123,-32.1650210189999,"Henderson","Renewable",3.2,3
115.726644853,-31.7077861289999,"Tamala Park","Renewable",4.65,NA
115.75895724,-32.5079182699999,"Mandurah","Renewable",1.3,NA
115.815388896,-32.286322513,"Rockingham","Renewable",2.1,NA
116.019314439,-32.266436159,"South Cardup (Shale Road Landfill)","Renewable",3.3,3
117.889484322,-27.4212477479999,"Cue","Non Renewable",0.8,1
119.294959299,-27.985269349,"Sandstone","Non Renewable",0.4,NA
120.111723359,-21.879501101,"Nullagine Solar Farm","Renewable",0.2,900
120.112862457,-21.879444146,"Nullagine Diesel Backup","Non Renewable",0.96,NA
119.741200006,-21.164344634,"Marble Bar Solar Farm","Renewable",0.3,1350
119.7418515,-21.164922927,"Marble Bar Diesel Backup","Non Renewable",1.28,NA
123.64414998,-17.3141410699999,"Derby","Non Renewable",12.53,NA
125.559711185,-18.195575048,"Fitzroy Crossing","Non Renewable",4.06,NA
127.661897022,-18.2327514799999,"Halls Creek","Non Renewable",3.69,NA
128.211319639,-17.0258835029999,"Warmun","Non Renewable",1.3,6
128.739461994,-15.779556779,"Kununurra","Non Renewable",12.4,1
122.396468044,-28.621623664,"Laverton","Non Renewable",1.5,1
114.124998124,-21.94645795,"Exmouth","Non Renewable",8,7
145.344969921,-17.1192921869999,"Tableland","Renewable",7,NA
150.803227307,-33.8182065889999,"Erskine Park","Non Renewable",0.4,1
151.747767775,-32.877281432,"Kooragang","Renewable",0.6,1
114.194551665,-27.8994985329999,"Kalbarri Wind Farm","Renewable",1.7,2
118.674721035,-21.1738833869999,"Wodgina","Non Renewable",13.7,4
128.03307638,-17.3630953589999,"Savannah Nickel Mine","Non Renewable",10.8,NA
118.483022029,-26.595171555,"Meekatharra","Non Renewable",2.9,NA
121.321274668,-28.881076376,"Leonora","Non Renewable",4.43,7
121.025177946,-29.6906018989999,"Menzies","Non Renewable",0.3,1
115.099024788,-21.6582215519999,"Onslow","Non Renewable",3.6,6
120.129934021,-33.905048923,"Hopetoun Diesel Backup","Non Renewable",1.3,NA
136.093459452,-16.4334982509999,"McArthur River Mine","Non Renewable",78,6
153.010137524,-27.494958561,"University of Queensland (St Lucia Campus) Solar Array","Renewable",1.2,5000
115.854780069,-31.9766627829999,"Perth Zoo","Renewable",2.37,755
144.894816826,-37.735278743,"Tulla Calder Interchange Solar Array","Renewable",0.24,210
143.952880534,-36.613499141,"Bridgewater Solar","Renewable",0.14,NA
